dataset,sample,timepoint,condition,PC1,PC2,PC3,cluster
test,1,0,test_S1,0.9394439595829172,3.542830066484604,-2.2177214726677215,2
test,1,1,test_S1,1.090482797248157,2.9033311009150347,-1.653179776395457,2
test,1,2,test_S1,-0.37081464196772124,1.9274988517185956,-3.0206163949284415,2
test,1,3,test_S1,0.07382832621008696,2.2559743027304657,-2.555924776455883,2
test,1,4,test_S1,-0.9297995345130377,2.3616457789227727,-2.6719569223410753,2
test,1,5,test_S1,-0.024958598463412307,1.4298076593235238,-1.5620981489974561,2
test,1,6,test_S1,0.7403024783215802,1.6396740802009915,-0.6254044067701175,2
test,1,7,test_S1,0.7845580565554697,1.5974276274694994,-0.7607585116352132,2
test,1,8,test_S1,-2.061886405463497,2.444395704793181,-1.58117923033686,2
test,1,9,test_S1,-1.761262377025756,2.1451651542502104,-2.758891433008503,2
test,1,10,test_S1,-0.6558376960228853,1.331510537096223,-1.161149214072016,2
test,1,11,test_S1,-0.6592630602309495,1.1189277861311728,-0.5599892440739851,2
test,2,0,test_S2,-1.172004490942153,-2.392603023986675,-0.6914294201580778,0
test,2,1,test_S2,-0.4175739157665946,-2.9770919037185353,-1.0609255050252446,0
test,2,2,test_S2,-2.5745926307184814,-2.51774899694294,-1.7130640195148532,0
test,2,3,test_S2,-0.8479506351736787,-1.8109991541555441,-1.1954437138693927,0
test,2,4,test_S2,0.25096074404832863,-2.792868304558994,-0.35858348060683,0
test,2,5,test_S2,1.2352314181265467,-2.734555746187039,-0.701410760800386,0
test,2,6,test_S2,1.707157305844854,-2.692850558048914,-0.0897408315452236,0
test,2,7,test_S2,1.834658320781801,-2.7919562863774514,-0.5932668467488398,0
test,2,8,test_S2,3.632906345910464,-3.9451022749007714,-1.9334999741102328,0
test,2,9,test_S2,2.3472529940207636,-2.6799016040144137,-1.2303986758064973,0
test,2,10,test_S2,2.210023750810857,-2.894993379126058,-1.1641289776396337,0
test,2,11,test_S2,2.255031118505408,-3.7410474477196516,-1.7295750038924882,0
train,1,0,train_S1,-3.632021002610212,-0.24855818800244012,-0.7625862340707287,3
train,1,1,train_S1,-5.2251933248326745,-0.34413559649302106,1.110685285308783,3
train,1,2,train_S1,-5.872378891459521,-0.3966842085535096,0.23896971322894034,3
train,1,3,train_S1,-5.929582097248857,-0.023620802848505214,0.23399009428581174,3
train,1,4,train_S1,-1.00459453448027,-0.32853776817587077,1.7579795636697129,3
train,1,5,train_S1,-2.239690923023127,-0.8557990399168405,1.202494485335696,3
train,1,6,train_S1,-1.8408089240264653,-0.2728336779392857,0.7808144509525996,3
train,1,7,train_S1,-2.34656260671024,-0.02261387660059614,3.6050223344827597,3
train,1,8,train_S1,-2.105171122583535,-0.21962159140712365,2.0134199130305572,3
train,1,9,train_S1,-1.9151136952781882,-0.9925287124034534,2.6991581273758674,3
train,1,10,train_S1,-1.2767295398331884,-0.04558172602998523,1.2693536483846357,3
train,1,11,train_S1,-2.6542964857699967,-0.24406927160208616,2.9757382970035824,3
train,2,0,train_S2,0.8002445867712971,1.9449484147742846,0.20317599634971278,1
train,2,1,train_S2,1.5674490451894003,1.2939391712926558,0.23150316652724404,1
train,2,2,train_S2,2.071670046236664,0.7994708481850015,-0.30409965199150124,1
train,2,3,train_S2,1.5469460884676647,0.1969417350371727,1.7440578027726041,1
train,2,4,train_S2,1.9628092132421409,0.710003840732308,2.5110395515727264,1
train,2,5,train_S2,3.520748901028415,0.4252526725053721,2.0334758082222315,1
train,2,6,train_S2,3.3217669202535096,0.7963463598746184,2.0102709117982718,1
train,2,7,train_S2,4.0275502789233775,1.3370146120252255,1.511331921555637,1
train,2,8,train_S2,2.649397066265668,1.7492388517937212,1.2422272048740088,1
train,2,9,train_S2,2.042534482995103,1.459728381244109,1.1745015782290043,1
train,2,10,train_S2,2.150843983712532,1.201097184815068,1.9815305556582652,1
train,2,11,train_S2,2.754288905091429,1.3541324173938967,2.1262822168440128,1
