sample,timepoint,compactness_distance_corr
1,0,-0.33658794288506366
1,1,-0.37551438297347034
1,2,-0.3078738812127337
1,3,-0.027666588299415436
1,4,-0.1550512504993778
1,5,-0.1818347604189694
1,6,-0.34298842515765854
1,7,-0.14072893699561717
1,8,-0.33488692519255436
1,9,-0.19574483741828458
1,10,-0.25816045435067786
1,11,-0.4190483497539987
2,0,-0.21132305528392933
2,1,-0.18882201672575077
2,2,-0.17424157244298577
2,3,-0.09525490472011353
2,4,-0.02232229850307103
2,5,-0.03451391031146009
2,6,-0.17881868742563006
2,7,0.009482100786369645
2,8,-0.05780809240233369
2,9,-0.19381009898734478
2,10,-0.2225346065036606
2,11,-0.11286667115133382
