sample,timepoint,leader_fraction
1,0,0.10526315789473684
1,1,0.1111111111111111
1,2,0.11764705882352941
1,3,0.1111111111111111
1,4,0.11320754716981132
1,5,0.10869565217391304
1,6,0.10416666666666667
1,7,0.11764705882352941
1,8,0.10204081632653061
1,9,0.10204081632653061
1,10,0.11538461538461539
1,11,0.11764705882352941
2,0,0.1044776119402985
2,1,0.10294117647058823
2,2,0.10294117647058823
2,3,0.1
2,4,0.10256410256410256
2,5,0.10714285714285714
2,6,0.10843373493975904
2,7,0.1111111111111111
2,8,0.1095890410958904
2,9,0.10526315789473684
2,10,0.10256410256410256
2,11,0.1111111111111111
