sample,timepoint,invasion_volume,cell_density
1,0,12429770771.953009,3.0571762502446623e-09
1,1,12636085486.583212,2.8489835747173608e-09
1,2,12079677833.56349,2.8146446013262624e-09
1,3,12794007170.01257,2.813817400726424e-09
1,4,12561772090.903471,4.2191499428953675e-09
1,5,12782538652.297636,3.5986591749309195e-09
1,6,12589236737.027601,3.812780790659205e-09
1,7,12787745404.034248,3.988193257578512e-09
1,8,12943328051.47052,3.78573422578384e-09
1,9,12550868500.627926,3.904112292910128e-09
1,10,12636735520.455841,4.114986810938987e-09
1,11,12778395710.234903,3.991111337955465e-09
2,0,13740730688.77444,4.876014348693697e-09
2,1,13899568009.585705,4.892238374106623e-09
2,2,13834941691.094095,4.915091188550028e-09
2,3,13229609237.075731,5.2911615714110675e-09
2,4,13088213912.10937,5.959560297821347e-09
2,5,13757047916.816257,6.105961141366716e-09
2,6,13433184259.221565,6.178728617008469e-09
2,7,13934839866.151522,5.812768627270226e-09
2,8,14130906641.832336,5.165981337948616e-09
2,9,13999757119.882343,5.428665608210117e-09
2,10,13986144008.546171,5.576948153282166e-09
2,11,13488305975.987104,6.005201849973028e-09
